run_id,generated_at,game_date,away,home,team,player,player_id,market,projection,projection_basis,sigma,sigma_source,line,side,odds,opposite_odds,book,model_prob,implied_prob,vig_free,edge,tier,verdict,priced
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Aliyah Boston,1641648,player_rebounds,8.01,"season RPG; L5 reb x0.45, minutes x0.89",3.125,"player-fitted (n=33, shrunk to league)",9.5,under,116,-154,fanduel,0.6833,0.433,True,0.2503,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Aliyah Boston,1641648,player_assists,2.83,"season APG; L5 ast x0.45, minutes x0.89",1.814,"player-fitted (n=33, shrunk to league)",3.5,under,136,-179,betonlineag,0.6441,0.3978,True,0.2463,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Aliyah Boston,1641648,player_threes,1.13,"season fg3m history; L5 fg3m x0.45, minutes x0.89",0.995,"player-fitted (n=33, shrunk to league)",0.5,over,-230,,betrivers,0.7367,0.697,False,0.0397,Lean,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Makayla Timpson,1642815,player_points,4.96,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.93",4.279,"player-fitted (n=34, shrunk to league)",7.5,under,-118,-102,betrivers,0.7236,0.5174,True,0.2063,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Makayla Timpson,1642815,player_rebounds,4.7,"season RPG; L5 reb x0.45, minutes x0.93",2.475,"player-fitted (n=34, shrunk to league)",5.5,under,-158,118,fanduel,0.6267,0.5717,True,0.055,Standard,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Makayla Timpson,1642815,player_assists,0.59,"season APG; L5 ast x0.45, minutes x0.93",1.025,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Makayla Timpson,1642815,player_threes,0.0,"season fg3m history; L5 fg3m x0.45, minutes x0.93",0.466,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Sophie Cunningham,1629482,player_points,6.89,season PPG; L5 pts x0.45 + source pts x0.35,5.572,"player-fitted (n=34, shrunk to league)",8.5,under,100,-130,fanduel,0.6137,0.4694,True,0.1443,Strong,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Sophie Cunningham,1629482,player_rebounds,1.93,season RPG; L5 reb x0.45,1.893,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Sophie Cunningham,1629482,player_assists,0.84,season APG; L5 ast x0.45,1.235,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Sophie Cunningham,1629482,player_threes,1.46,season fg3m history; L5 fg3m x0.45,1.469,"player-fitted (n=34, shrunk to league)",1.5,under,118,-158,fanduel,0.5109,0.4283,True,0.0826,Strong,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Monique Billings,1628881,player_points,7.55,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x1.04",5.096,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Monique Billings,1628881,player_rebounds,4.55,"season RPG; L5 reb x0.45, minutes x1.04",2.811,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Monique Billings,1628881,player_assists,1.09,"season APG; L5 ast x0.45, minutes x1.04",1.135,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,IND,Monique Billings,1628881,player_threes,0.08,"season fg3m history; L5 fg3m x0.45, minutes x1.04",0.563,"player-fitted (n=34, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Brittney Sykes,1628279,player_points,13.28,season PPG; L5 pts x0.45 + source pts x0.35,10.869,"player-fitted (n=33, shrunk to league)",9.5,over,-156,120,betonlineag,0.636,0.5728,True,0.0632,Standard,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Brittney Sykes,1628279,player_rebounds,2.09,season RPG; L5 reb x0.45,2.419,"player-fitted (n=33, shrunk to league)",2.5,under,-120,-108,betonlineag,0.5673,0.5123,True,0.055,Standard,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Brittney Sykes,1628279,player_assists,1.93,season APG; L5 ast x0.45,2.016,"player-fitted (n=33, shrunk to league)",2.5,under,-105,-123,betonlineag,0.6113,0.4815,True,0.1298,Strong,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Brittney Sykes,1628279,player_threes,0.27,season fg3m history; L5 fg3m x0.45,1.019,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Marina Mabrey,1629497,player_points,19.72,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x1.12",10.423,"player-fitted (n=33, shrunk to league)",19.5,over,-125,-106,draftkings,0.5084,0.5192,True,-0.0107,Pass,PASS,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Marina Mabrey,1629497,player_rebounds,3.01,"season RPG; L5 reb x0.45, minutes x1.12",2.09,"player-fitted (n=33, shrunk to league)",3.5,under,100,-132,fanduel,0.5927,0.4677,True,0.125,Strong,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Marina Mabrey,1629497,player_assists,3.7,"season APG; L5 ast x0.45, minutes x1.12",1.994,"player-fitted (n=33, shrunk to league)",4.5,under,-106,-128,draftkings,0.6559,0.4782,True,0.1777,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Marina Mabrey,1629497,player_threes,3.18,"season fg3m history; L5 fg3m x0.45, minutes x1.12",2.14,"player-fitted (n=33, shrunk to league)",2.5,over,-134,113,betrivers,0.6247,0.5495,True,0.0752,Standard,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Maria Conde,1629576,player_points,9.27,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x1.09",5.539,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Maria Conde,1629576,player_rebounds,4.58,"season RPG; L5 reb x0.45, minutes x1.09",2.456,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Maria Conde,1629576,player_assists,2.93,"season APG; L5 ast x0.45, minutes x1.09",1.945,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Maria Conde,1629576,player_threes,1.45,"season fg3m history; L5 fg3m x0.45, minutes x1.09",1.408,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Julie Allemand,1627700,player_points,6.6,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x1.05",4.778,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,IND,TOR,TOR,Julie Allemand,1627700,player_rebounds,2.84,"season RPG; L5 reb x0.45, minutes x1.05",2.204,"player-fitted (n=32, shrunk to league)",,,,,,,,False,,,PROJ,False
