team,split_type,split_value,games,pts_avg,opp_pts_avg,margin_avg,pace_avg,total_avg,win_rate,efg_avg,tov_rate_proxy_avg,three_rate_avg,ft_rate_avg
DAL,result,W,17,94.70588235294117,83.47058823529412,11.235294117647058,80.70588235294117,178.1764705882353,1.0,0.552398554897238,0.11225067030888877,0.3381184145644085,0.25095569835203574
GSV,home_away,away,12,81.0,76.75,4.25,75.70833333333333,157.75,0.6666666666666666,0.4936197987605906,0.12426313885516606,0.4572100467133344,0.28099951277925556
GSV,home_away,home,14,82.64285714285714,75.07142857142857,7.571428571428571,75.96428571428571,157.71428571428572,0.7857142857142857,0.5052106269927245,0.12458378499448555,0.4472847372302816,0.30883934411257996
GSV,month,Jul,6,79.0,69.16666666666667,9.833333333333334,73.83333333333333,148.16666666666666,1.0,0.528785273143552,0.14177750911815337,0.4595464437805916,0.28183688695805204
GSV,month,Jun,12,80.75,76.66666666666667,4.083333333333333,75.04166666666667,157.41666666666666,0.6666666666666666,0.4959218168212107,0.1236345633728911,0.4675774567775857,0.2942538676330785
GSV,month,May,8,85.75,79.625,6.125,78.5625,165.375,0.625,0.48407661528867385,0.11263135512514716,0.422537342221172,0.30920965469774153
GSV,opponent,ATL,3,81.0,74.66666666666667,6.333333333333333,77.83333333333333,155.66666666666666,1.0,0.5368359813834055,0.17043651633635123,0.46521157652597234,0.28565238324506503
GSV,opponent,CHI,1,63.0,69.0,-6.0,75.5,132.0,0.0,0.34,0.11822871883061048,0.3466666666666667,0.21333333333333335
GSV,opponent,CON,2,88.0,67.0,21.0,76.75,155.0,1.0,0.5690639269406392,0.15599199300492372,0.37602739726027395,0.2658675799086758
GSV,opponent,DAL,1,91.0,80.0,11.0,77.5,171.0,1.0,0.5555555555555556,0.14792899408284024,0.3968253968253968,0.42857142857142855
GSV,opponent,IND,3,86.66666666666667,84.33333333333333,2.3333333333333335,81.33333333333333,171.0,0.6666666666666666,0.5074471167777456,0.1456512050814833,0.3456341157152516,0.3980102385781899
GSV,opponent,LAS,1,78.0,58.0,20.0,73.5,136.0,1.0,0.4772727272727273,0.10796545105566219,0.3181818181818182,0.2878787878787879
GSV,opponent,LVA,3,77.66666666666667,89.0,-11.333333333333334,76.33333333333333,166.66666666666666,0.0,0.4554825347735796,0.11594849895970266,0.4689484260379783,0.24483251908625045
GSV,opponent,MIN,2,79.5,84.0,-4.5,77.0,163.5,0.0,0.4596372688477952,0.10884339571824676,0.5136913229018493,0.1806543385490754
GSV,opponent,NYL,2,81.5,68.5,13.0,72.5,150.0,1.0,0.4852654387865656,0.07816716950471872,0.461863488624052,0.31451787648970747
GSV,opponent,PDX,1,95.0,77.0,18.0,73.5,172.0,1.0,0.5942028985507246,0.08341277407054337,0.5797101449275363,0.2608695652173913
GSV,opponent,PHX,2,91.0,80.0,11.0,75.5,171.0,1.0,0.5570712013701982,0.10828722064884785,0.48397357474920477,0.3638365549302667
GSV,opponent,SEA,2,83.5,76.0,7.5,75.0,159.5,1.0,0.47225634725634724,0.12148953291145223,0.5303030303030303,0.3228910728910729
GSV,opponent,TOR,1,83.0,75.0,8.0,76.0,158.0,1.0,0.5431034482758621,0.1686746987951807,0.5172413793103449,0.43103448275862066
GSV,opponent,WAS,2,68.0,59.0,9.0,68.0,127.0,1.0,0.45018323408153915,0.0837263673204818,0.5093907466788823,0.19651855245075583
GSV,overall,all,26,81.88461538461539,75.84615384615384,6.038461538461538,75.84615384615384,157.73076923076923,0.7307692307692307,0.4998610139625089,0.12443579446864582,0.45186564929938283,0.29599019118950715
GSV,result,L,7,76.71428571428571,84.85714285714286,-8.142857142857142,77.35714285714286,161.57142857142858,0.0,0.43530724477784294,0.11853955147085463,0.4421686149814307,0.2421219790577887
GSV,result,W,19,83.78947368421052,72.52631578947368,11.263157894736842,75.28947368421052,156.31578947368422,1.0,0.5236439815568597,0.12660809452046362,0.4554382408902074,0.3158363746064561
IND,home_away,away,11,88.18181818181819,86.63636363636364,1.5454545454545454,81.18181818181819,174.8181818181818,0.5454545454545454,0.5358074047535936,0.15357999875664863,0.41459783321369065,0.29261636976747024
IND,home_away,home,15,99.0,91.86666666666666,7.133333333333334,85.3,190.86666666666667,0.6666666666666666,0.5595352488308033,0.15571352964744295,0.37943609541873513,0.37085793323434385
IND,month,Jul,7,95.71428571428571,88.71428571428571,7.0,81.21428571428571,184.42857142857142,0.7142857142857143,0.5607091333180472,0.13121652095925881,0.3871574832910373,0.2916251913622114
IND,month,Jun,11,95.54545454545455,90.72727272727273,4.818181818181818,84.27272727272727,186.27272727272728,0.6363636363636364,0.5687680083094914,0.1679789351708538,0.3960907769251657,0.34653629995286417
IND,month,May,8,91.75,89.0,2.75,84.625,180.75,0.5,0.5131872700151054,0.15734987468007194,0.3981270834271925,0.3660466783675432
IND,opponent,ATL,3,93.33333333333333,97.33333333333333,-4.0,83.16666666666667,190.66666666666666,0.3333333333333333,0.5906973071152176,0.18631321569887824,0.37147595356550583,0.3372818447445313
IND,opponent,CHI,1,114.0,106.0,8.0,96.5,220.0,1.0,0.4885057471264368,0.12971290210999653,0.3218390804597701,0.3563218390804598
IND,opponent,CON,1,85.0,75.0,10.0,76.5,160.0,1.0,0.5901639344262295,0.1968503937007874,0.47540983606557374,0.3114754098360656
IND,opponent,DAL,1,104.0,107.0,-3.0,89.0,211.0,0.0,0.564935064935065,0.13966480446927376,0.3116883116883117,0.2727272727272727
IND,opponent,GSV,3,84.33333333333333,86.66666666666667,-2.3333333333333335,81.33333333333333,171.0,0.3333333333333333,0.49414484437997014,0.15947275067308553,0.3897981282974127,0.3289315544478088
IND,opponent,LAS,3,96.66666666666667,90.33333333333333,6.333333333333333,86.33333333333333,187.0,0.6666666666666666,0.5634525783779515,0.1559865016051235,0.4004436691003855,0.3556172959158033
IND,opponent,LVA,2,96.5,71.5,25.0,75.75,168.0,1.0,0.5809873949579831,0.09351044144858578,0.3922268907563025,0.28256302521008403
IND,opponent,NYL,2,91.5,85.5,6.0,84.25,177.0,0.5,0.5480072463768115,0.15817033563821914,0.3765096618357488,0.29981884057971014
IND,opponent,PDX,2,87.0,86.5,0.5,81.0,173.5,0.5,0.4905450500556173,0.1728909019848692,0.4154616240266963,0.53559510567297
IND,opponent,PHX,3,95.66666666666667,92.33333333333333,3.3333333333333335,81.0,188.0,0.6666666666666666,0.5917027417027417,0.14993529565991306,0.4420183982683983,0.2946203102453102
IND,opponent,SEA,2,99.5,92.5,7.0,84.5,192.0,1.0,0.5347222222222222,0.1521846403473818,0.31643864013267,0.37945688225538976
IND,opponent,TOR,1,113.0,91.0,22.0,88.5,204.0,1.0,0.6159420289855072,0.1607717041800643,0.43478260869565216,0.4782608695652174
IND,opponent,WAS,2,90.0,90.0,0.0,87.75,180.0,0.5,0.4994235836627141,0.14472359841277208,0.4479578392621871,0.20932147562582346
IND,overall,all,26,94.42307692307692,89.65384615384616,4.769230769230769,83.5576923076923,184.07692307692307,0.6153846153846154,0.5494965455673684,0.15481088196287612,0.3943122152550625,0.33775573330605124
IND,result,L,10,92.6,101.0,-8.4,85.7,193.6,0.0,0.5304606392871348,0.15891628269836172,0.3819690404582851,0.3151864180823492
IND,result,W,16,95.5625,82.5625,13.0,82.21875,178.125,1.0,0.5613939869925143,0.15224500650319764,0.40202669950304826,0.35186155532086494
LAS,home_away,away,13,88.84615384615384,95.07692307692308,-6.230769230769231,82.84615384615384,183.92307692307693,0.38461538461538464,0.5204885228207242,0.15221027052073485,0.3932883757590341,0.30774865038036936
LAS,home_away,home,12,88.16666666666667,92.08333333333333,-3.9166666666666665,83.45833333333333,180.25,0.4166666666666667,0.5217343390381585,0.15741718158767204,0.37041584860316584,0.3272379868322058
LAS,month,Jul,7,87.85714285714286,92.0,-4.142857142857143,85.28571428571429,179.85714285714286,0.2857142857142857,0.528986130861673,0.163517967054357,0.3721449793375505,0.2578499725560597
LAS,month,Jun,10,87.6,95.0,-7.4,82.75,182.6,0.4,0.48267406653425915,0.12867504464453866,0.39560324523388946,0.32795237912789393
LAS,month,May,8,90.25,93.375,-3.125,81.75,183.625,0.5,0.5621899104691268,0.17954543499946649,0.37458647005046064,0.35538933721998944
LAS,opponent,ATL,1,92.0,101.0,-9.0,84.5,193.0,0.0,0.5895522388059702,0.19556714471968709,0.3582089552238806,0.23880597014925373
LAS,opponent,CHI,2,92.0,91.5,0.5,86.0,183.5,0.5,0.5487854251012145,0.15103163469424868,0.4039473684210526,0.2756072874493927
LAS,opponent,CON,1,81.0,84.0,-3.0,83.0,165.0,0.0,0.4696969696969697,0.17123287671232876,0.3787878787878788,0.3939393939393939
LAS,opponent,DAL,2,89.0,97.0,-8.0,82.25,186.0,0.0,0.5669446883230904,0.16688486516072723,0.36336698858647937,0.23759877085162423
LAS,opponent,GSV,1,58.0,78.0,-20.0,73.5,136.0,0.0,0.35833333333333334,0.17899761336515513,0.35,0.3333333333333333
LAS,opponent,IND,3,90.33333333333333,96.66666666666667,-6.333333333333333,86.33333333333333,187.0,0.3333333333333333,0.5088695078701742,0.14140831567472145,0.2586875704797091,0.32149610697245606
LAS,opponent,LVA,3,82.66666666666667,93.0,-10.333333333333334,81.83333333333333,175.66666666666666,0.3333333333333333,0.48001658374792705,0.16514357494366827,0.3947059573925245,0.2814644725092486
LAS,opponent,MIN,2,85.0,97.5,-12.5,84.75,182.5,0.0,0.510576923076923,0.19180926645767543,0.43205128205128207,0.4128205128205128
LAS,opponent,NYL,1,98.0,97.0,1.0,83.5,195.0,1.0,0.577922077922078,0.0985977212971078,0.35064935064935066,0.15584415584415584
LAS,opponent,PDX,1,89.0,72.0,17.0,81.0,161.0,1.0,0.48,0.12412081092263136,0.4,0.29333333333333333
LAS,opponent,PHX,2,104.0,95.0,9.0,84.75,199.0,1.0,0.5887559335443038,0.14867029436753532,0.46518987341772156,0.31744462025316456
